"con1"	"con2"	"con3"	"con4"	"d2_1"	"d2_2"	"d2_3"	"d2_4"	"d4_1"	"d4_2"	"d4_3"	"d4_4"	"Only.identified.by.site"	"Reverse"	"Potential.contaminant"	"t.test.Significantcon_2d"	"t.test.Significantcon_4d"	"matrix31"	"Q.value"	"Intensity"	"MS.MS.Count"	"X.Log.t.test.p.valuecon_2d"	"t.test.Differencecon_2d"	"X.Log.t.test.p.valuecon_4d"	"t.test.Differencecon_4d"	"Test.statistic_"	"Protein.IDs"	"Majority.protein.IDs"	"Protein.names"	"Gene.names"	"Gene_name"	"ProteinID"	"con_mean"	"d2_mean"	"ttest_con_d2_pval"	"d4_mean"	"ttest_con_d4_pval"	"ttest_con_d2_fdr"	"ttest_con_d4_fdr"
"1291"	-5.156143	-4.666718	-4.417963	-6.097147	-3.106604	-4.887624	-3.930072	-3.800329	-1.612732	-4.982604	2.725317	-0.04869843	""	""	""	""	""	""	"0"	"873040000"	"17"	"1.16165940054168"	"-1.15333527326584"	"1.32515273718629"	"-4.10481345653534"	"-1.54902633783166"	"P36953;G3V9R9"	"P36953;G3V9R9"	"Afamin"	"Afm"	"Afm"	"P36953"	-5.08449275	-3.93115725	0.0689251257244377	-0.9796793575	0.0805543511741903	0.548839599096283	0.771238065649326
"1292"	-3.454739	-3.280973	-2.96217	-2.024328	-2.287598	-3.177435	-5.071358	-2.469566	-3.123051	-3.615913	-2.882702	-2.265333	""	""	""	""	""	""	"0"	"209410000"	"6"	"0.175316974770136"	"0.320936560630798"	"0.0334425648817595"	"0.0411971807479858"	"0.0289160721321471"	"G3V9S9"	"G3V9S9"	""	"Sec24d"	"Sec24d"	"G3V9S9"	-2.9305525	-3.25148925	0.673278823747577	-2.97174975	0.925935181195964	0.880154291499189	0.979546329478854
"1293"	-1.403334	-0.03787994	0.4466934	-1.70705	-0.726408	-1.0415	-1.245771	-0.8754139	-1.538435	0.3339787	-1.121483	-0.2858925	""	""	""	""	""	""	"0"	"1252500000"	"18"	"0.223531724362707"	"0.296880722045898"	"0.011289833548137"	"-0.0224347114562988"	"-0.0134413312882418"	"G3V9T7"	"G3V9T7"	"ATPase Asna1"	"Asna1"	"Asna1"	"G3V9T7"	-0.675392635	-0.972273225	0.613359046502075	-0.65295795	0.974387300736753	0.853760315906726	0.995505361004129
"1294"	-1.094175	-3.256084	-3.245037	-2.96557	-2.398335	-2.371	-3.065149	-2.097397	-4.560334	-2.911375	-3.479336	-4.722962	""	""	""	""	""	""	"0.0023033"	"284840000"	"1"	"0.10353173068047"	"-0.157246589660645"	"0.966092835137193"	"1.278284907341"	"0.762034572040855"	"G3V9U0"	"G3V9U0"	""	"Acss2"	"Acss2"	"G3V9U0"	-2.6402165	-2.48297025	0.792680660199981	-3.91850175	0.109647019590385	0.937471951993556	0.829944387677738
"1295"	5.078476	5.440899	5.493515	6.198256	5.550192	5.378819	6.08864	6.144743	5.283428	4.769808	4.579771	4.758457	""	""	""	""	""	""	"0"	"94217000000"	"329"	"0.33544043269037"	"-0.237812042236328"	"1.34851535466107"	"0.704920291900635"	"0.551199964575609"	"G3V9U2;A0A0G2K642;P13437"	"G3V9U2;A0A0G2K642;P13437"	"3-ketoacyl-CoA thiolase, mitochondrial"	"Acaa2"	"Acaa2"	"G3V9U2"	5.5527865	5.7905985	0.463019120357316	4.847866	0.0513874040627808	0.797020263767128	0.760917847364041
"1296"	2.901472	3.270777	3.015104	2.994469	2.403542	2.008301	2.863037	2.948618	2.488468	1.88624	2.66136	2.800989	""	""	""	""	""	""	"0"	"12229000000"	"66"	"1.09972967268021"	"0.489581108093262"	"1.45407914885285"	"0.586191177368164"	"0.481914037669763"	"Q5U202;Q62908;G3V9V9"	"Q5U202;Q62908;G3V9V9"	"Cysteine and glycine-rich protein 2"	"Csrp2"	"Csrp2"	"Q5U202"	3.0454555	2.5558745	0.10674297138237	2.45926425	0.0550195258424387	0.594622847684331	0.760917847364041
"1297"	0.6376381	1.991463	1.046688	0.1374493	0.7584801	-0.2770672	-1.27639	0.1496353	1.258671	0.6987591	0.194025	0.1314068	""	""	""	""	""	""	"0"	"2865900000"	"34"	"0.985059661117844"	"1.11464500427246"	"0.347956539766801"	"0.382594108581543"	"0.259869051389614"	"G3V9Y1"	"G3V9Y1"	""	"Myh10"	"Myh10"	"G3V9Y1"	0.9533096	-0.16133545	0.103857187201727	0.570715475	0.453133933070612	0.594622847684331	0.941075218370869
"1298"	-5.031	-2.504168	0.02981567	-3.803869	-3.490328	-3.954151	-3.698034	-3.888874	-4.090155	-3.608259	-3.732207	-2.170071	""	""	""	""	""	""	"0.00082919"	"230610000"	"3"	"0.371325027559861"	"0.930541574954987"	"0.194017787495964"	"0.572867751121521"	"0.264895003997799"	"G3V9Y2"	"G3V9Y2"	""	"Ppap2a"	"Ppap2a"	"G3V9Y2"	-2.8273053325	-3.75784675	0.454269397783236	-3.400173	0.648694268708805	0.795700956124546	0.963637905671656
"1299"	-2.606874	-1.787399	-1.276234	-3.044991	-1.709705	-2.579779	-2.43862	-3.470236	-2.21699	-4.45492	-3.458575	-2.021317	""	""	""	""	""	""	"0.00042088"	"307850000"	"7"	"0.287180953068846"	"0.370710372924805"	"0.580833794958892"	"0.859075844287872"	"0.506877760193555"	"P21396;G3V9Z3"	"P21396;G3V9Z3"	"Amine oxidase [flavin-containing] A"	"Maoa"	"Maoa"	"P21396"	-2.1788745	-2.549585	0.516432842707289	-3.0379505	0.267684667971583	0.813197733942944	0.928915664588756
"1300"	2.071512	-0.1300907	-0.5488892	2.318216	0.8515968	0.9900551	1.171429	1.578087	0.7632294	0.3481426	1.210247	-1.402451	""	""	""	""	""	""	"0"	"4750400000"	"39"	"0.107655502794008"	"-0.220104694366455"	"0.315947500509088"	"0.697895050048828"	"0.360881764577849"	"P07154;I2FHN3"	"P07154;I2FHN3"	"Cathepsin L1;Procathepsin L;Cathepsin L1 heavy chain;Cathepsin L1 light chain"	"Ctsl1;CatL"	"Ctsl1"	"P07154"	0.927687025	1.147791975	0.788145972818889	0.229792	0.484810820621589	0.935838354194911	0.941075218370869
"1301"	2.732672	2.879772	3.27284	2.545912	3.067202	2.989668	2.903393	3.030466	2.497047	2.394365	3.186567	2.484516	""	""	""	""	""	""	"0"	"12733000000"	"48"	"0.386410967992973"	"-0.139883041381836"	"0.398154073050139"	"0.217175006866455"	"0.175186441361232"	"I6L9G6"	"I6L9G6"	""	"Tardbp"	"Tardbp"	"I6L9G6"	2.857799	2.99768225	0.43622254529159	2.64062375	0.400780171465678	0.788590393998029	0.941075218370869
"1302"	0.294569	0.3246078	0.3487377	-0.1700687	-1.412861	-0.3470211	-0.4886475	-1.484779	0.09620857	-1.015461	-1.480541	-0.3237438	""	""	""	""	""	""	"0"	"1592000000"	"23"	"1.89037864743372"	"1.13278865814209"	"1.2510584173133"	"0.880345821380615"	"0.641350648966734"	"M0R3M4;D4A054"	"M0R3M4;D4A054"	""	"LOC100911178;Ranbp2"	"LOC100911178"	"M0R3M4"	0.19946145	-0.93332715	0.025012552363742	-0.6808843075	0.0821363121698208	0.422035231861265	0.771238065649326
"1303"	1.586582	-4.241667	-4.578039	1.034031	-5.052975	-2.014341	-3.94824	0.03503609	-2.317196	-3.271277	-0.8091354	-2.477427	""	""	""	""	""	""	"0"	"1597300000"	"12"	"0.242774108710571"	"1.19535690546036"	"0.146895817681697"	"0.668985605239868"	"0.244648549484538"	"M0R3V4"	"M0R3V4"	""	"LOC501282"	"LOC501282"	"M0R3V4"	-1.54977325	-2.7451299775	0.574696074487139	-2.21875885	0.721568596322975	0.832549875578479	0.963637905671656
"1304"	-1.030924	-4.257934	-4.113139	-0.4041348	-1.548298	-1.319218	-1.051287	-0.5674171	-2.765486	-1.185555	-1.942572	-1.656143	""	""	""	""	""	""	"0"	"782970000"	"11"	"0.611311372722873"	"-1.32997798919678"	"0.211378652946849"	"-0.564094066619873"	"-0.273462417896198"	"M0R439"	"M0R439"	""	"Klhdc7a"	"Klhdc7a"	"M0R439"	-2.45153295	-1.121555025	0.281101630023406	-1.887439	0.626293039894267	0.713222352209898	0.962303266871006
"1305"	-4.040863	-4.100006	-3.67191	-2.714207	-2.840797	-3.151208	-3.201233	-2.86046	-3.64822	-4.848508	-1.613308	-4.047327	""	""	""	""	""	""	"0.00080613"	"144370000"	"2"	"0.945105916346964"	"-0.618321776390076"	"0.0423230271832604"	"-0.0924056768417358"	"-0.0525157246511187"	"P36202;M0R4H5"	"P36202;M0R4H5"	"PDZ and LIM domain protein 4"	"Pdlim4;Ril"	"Pdlim4"	"P36202"	-3.6317465	-3.0134245	0.147353320911301	-3.53934075	0.908724946156642	0.630205256392547	0.979033811709225
"1306"	0.02281952	0.4750557	0.2671432	-0.3902836	0.4912586	0.5344906	0.8065853	0.7917347	0.3431702	0.6258888	0.06970406	-0.1336174	""	""	""	""	""	""	"0"	"2407200000"	"21"	"1.4839794452667"	"-0.562333583831787"	"0.212499028836215"	"-0.132602691650391"	"-0.106193287685242"	"Q6P7A9;M0R544"	"Q6P7A9;M0R544"	"Lysosomal alpha-glucosidase"	"Gaa"	"Gaa"	"Q6P7A9"	0.093683705	0.6560173	0.0487103532145112	0.226286415	0.613313761871519	0.491728024999585	0.959121274377245
"1307"	-0.5592461	0.1882763	0.2523613	-0.9316158	0.3077354	-0.1084099	0.1408043	-0.1905155	-0.3277912	-0.5091324	0.2611351	0.03339767	""	""	""	""	""	""	"0"	"1720500000"	"28"	"0.429321347966155"	"-0.299959659576416"	"0.142853160875899"	"-0.12695837020874"	"-0.0949256204596792"	"M0R567;Q5EIC4"	"M0R567;Q5EIC4"	"Interferon regulatory factor 2-binding protein-like"	"Irf2bpl"	"Irf2bpl"	"M0R567"	-0.262556075	0.037403575	0.390577203738198	-0.1355977075	0.722436592867961	0.769805041186806	0.963637905671656
"1308"	-0.8813839	-2.43446	-4.285755	-1.665699	-1.321548	-1.30765	-1.082205	0.04172707	-1.921741	-1.768513	-0.8033943	-3.555425	""	""	""	""	""	""	"0"	"690550000"	"5"	"0.886215355895896"	"-1.39940536022186"	"0.122996588475595"	"-0.304556012153625"	"-0.15814508042677"	"M0R594;P09656"	"M0R594;P09656"	"Serine protease inhibitor Kazal-type 3"	"LOC100911558;Spink3"	"LOC100911558"	"M0R594"	-2.316824475	-0.9174189825	0.151788511011276	-2.012268325	0.753982585161933	0.630205256392547	0.966841729932831
"1309"	-2.809929	-3.553977	-4.018823	-2.464695	-1.803549	-1.867388	-1.974674	-2.755909	-2.149111	-5.466902	-2.487383	-2.950625	""	""	""	""	""	""	"0.00043995"	"274110000"	"5"	"1.43280770667644"	"-1.11147594451904"	"0.0211555758800953"	"0.0516493916511536"	"0.0282095343457985"	"M0R5B6;M0RDC9"	"M0R5B6;M0RDC9"	""	"LOC679140"	"LOC679140"	"M0R5B6"	-3.211856	-2.10038	0.0437806053498085	-3.26350525	0.953248504518186	0.485721224317111	0.991498954481076
"1310"	-4.405328	-5.262736	-5.604682	-3.589119	-3.4149	-2.578829	-3.589974	-2.599405	-3.643915	-3.786262	-4.014953	-3.631374	""	""	""	""	""	""	"0.0026626"	"114950000"	"2"	"1.72044157466731"	"-1.66968929767609"	"1.06592056461416"	"-0.946340262889862"	"-0.64772745556784"	"M0R5H1"	"M0R5H1"	""	"Etl4"	"Etl4"	"M0R5H1"	-4.71546625	-3.045777	0.0255226478622993	-3.769126	0.12583003817601	0.422035231861265	0.829944387677738
"1311"	7.055958	6.71843	6.25359	6.945482	7.274027	7.253563	7.541388	7.614294	7.040237	7.331572	7.407423	6.150688	""	""	""	""	""	""	"0"	"255430000000"	"596"	"1.83088253025778"	"-0.67745304107666"	"0.295257542948645"	"-0.239115238189697"	"-0.178615685860423"	"Q5BJ93;P04764;M0R5J4;P15429;P07323;A0A0G2K4Y2;F1M9V3"	"Q5BJ93;P04764;M0R5J4"	"Alpha-enolase"	"Eno1"	"Eno1"	"Q5BJ93"	6.743365	7.420818	0.0230441028890661	6.98248	0.511791252474197	0.41461794282083	0.941075218370869
"1312"	-2.039652	-0.64991	-1.031609	-3.805074	-0.2755203	-0.2013149	-0.09215164	-1.183519	0.3821602	-0.7746811	-2.83467	-0.523243	""	""	""	""	""	""	"0"	"948200000"	"10"	"0.991201446829225"	"-1.44343453645706"	"0.429203575193705"	"-0.943952739238739"	"-0.476965624734816"	"M0R5N4"	"M0R5N4"	""	"LOC100366237"	"LOC100366237"	"M0R5N4"	-1.88156125	-0.43812646	0.130745480701433	-0.937608475	0.372265835936372	0.614397769793393	0.941075218370869
"1313"	-2.269825	-2.779907	-2.774004	-3.144571	-2.902786	-2.2054	-2.218868	-2.204712	-4.264731	-2.458347	-2.278164	-3.508157	""	""	""	""	""	""	"0"	"300300000"	"6"	"0.698253306868127"	"-0.359135150909424"	"0.328038912942559"	"0.385272860527039"	"0.256922758370475"	"M0R920;M0R5Q3;M0RD63"	"M0R920;M0R5Q3;M0RD63"	""	"Ranbp3"	"Ranbp3"	"M0R920"	-2.74207675	-2.3829415	0.20039259997841	-3.12734975	0.484935744713817	0.662447907642514	0.941075218370869
"1314"	-1.708662	-5.692801	-2.701712	-1.964878	-3.829135	-4.967599	-5.173055	-2.189108	-1.049597	-2.952391	-0.2039871	-2.693499	""	""	""	""	""	""	"0"	"337170000"	"6"	"0.39191293387187"	"1.02271091938019"	"0.528769095646711"	"-1.29214513301849"	"-0.606963058171161"	"P53813;M0R5R0"	"P53813;M0R5R0"	"Vitamin K-dependent protein S"	"Pros1"	"Pros1"	"P53813"	-3.01701325	-4.03972425	0.408247150242854	-1.724868525	0.300137518608855	0.776996666910836	0.941075218370869
"1315"	-2.139091	-0.0430336	-0.867321	-2.288628	-0.8924809	-1.059307	-0.8719006	-1.707174	-1.149927	-0.4330196	-2.455637	-2.311415	""	""	""	""	""	""	"0"	"765030000"	"18"	"0.133347320568042"	"-0.201802730560303"	"0.132044265267808"	"0.252981185913086"	"0.14695821204765"	"M0R649;M0RBF8;Q62824"	"M0R649;M0RBF8;Q62824"	"Exocyst complex component 4"	"Exoc4"	"Exoc4"	"M0R649"	-1.3345184	-1.132715625	0.742318558686012	-1.58749965	0.737951601845334	0.915006687640105	0.966841729932831
"1316"	2.473209	2.076246	1.939316	1.893459	1.613392	2.307453	1.1563	1.940966	1.718172	1.7481	1.907791	2.056473	""	""	""	""	""	""	"0"	"7460000000"	"63"	"0.575653099683738"	"0.341030120849609"	"0.765798138830287"	"0.237923622131348"	"0.206310852564007"	"M0R671"	"M0R671"	""	"Tenc1"	"Tenc1"	"M0R671"	2.0955575	1.75452775	0.278729004929557	1.857634	0.182575430049192	0.713222352209898	0.849705646679399
"1317"	-2.432081	-3.469046	-2.337259	-2.34441	-2.021994	-2.283611	-1.773439	-2.448475	-3.994768	-1.965525	-2.456537	-3.106653	""	""	""	""	""	""	"0"	"302650000"	"2"	"0.81977220834649"	"-0.513819396495819"	"0.176687733170389"	"0.235171496868134"	"0.154928363214632"	"M0R6H1"	"M0R6H1"	""	"LOC688286"	"LOC688286"	"M0R6H1"	-2.645699	-2.13187975	0.166236419788556	-2.88087075	0.668654754237563	0.643538343276073	0.963637905671656
"1318"	2.890083	2.867325	3.342686	2.466507	2.480005	2.770903	1.725105	1.644766	2.354403	2.600523	2.148811	2.514372	""	""	""	""	""	""	"0"	"11472000000"	"99"	"1.16910371656031"	"0.73645544052124"	"1.26082422138331"	"0.487123012542725"	"0.404329441372422"	"P15800;M0R6K0;Q5M7W9"	"P15800;M0R6K0;Q5M7W9"	"Laminin subunit beta-2"	"Lamb2"	"Lamb2"	"P15800"	2.89165025	2.15519475	0.0754113560547141	2.40452725	0.0666631392797771	0.565722910969551	0.760917847364041
"1319"	2.240385	2.65118	2.139219	1.969597	2.156836	1.963648	2.363071	2.900526	2.688227	1.833221	2.061966	2.490911	""	""	""	""	""	""	"0"	"8789700000"	"61"	"0.146955964845534"	"-0.0959248542785645"	"0.0260050393119322"	"-0.0184860229492188"	"-0.0148698273840637"	"M0R735;R9PXZ2;Q7TP47;A0A0G2K9J1"	"M0R735;R9PXZ2;Q7TP47;A0A0G2K9J1"	"Heterogeneous nuclear ribonucleoprotein Q"	"Syncrip"	"Syncrip"	"M0R735"	2.25009525	2.34602025	0.714246065828526	2.26858125	0.942079964005835	0.905021674910264	0.986881100071891
"1320"	-1.547581	0.6071415	0.4386559	-2.148542	-0.1508694	-0.8860512	-0.894146	-1.136581	-1.057808	-0.5636082	-2.507874	-0.1872025	""	""	""	""	""	""	"0"	"1149800000"	"21"	"0.0502385441261137"	"0.104330539703369"	"0.189692376898241"	"0.416541576385498"	"0.2236905375524"	"M0R7A6"	"M0R7A6"	""	"Itsn2"	"Itsn2"	"M0R7A6"	-0.6625814	-0.7669119	0.893809843187743	-1.079123175	0.647639482822889	0.977007244748502	0.963637905671656
"1321"	-1.114958	-5.203189	-0.4406147	-0.792799	-0.5649242	-1.41691	-2.93195	-0.3848934	-0.3917675	-5.385919	-1.372494	-5.05693	""	""	""	""	""	""	"0"	"821920000"	"9"	"0.174171039030946"	"-0.563220620155334"	"0.286850833168977"	"1.16388738155365"	"0.432775992322367"	"M0R7B4"	"M0R7B4"	""	"LOC684828"	"LOC684828"	"M0R7B4"	-1.887890175	-1.3246694	0.674545873829841	-3.051777625	0.517017994359001	0.88065678220808	0.941075218370869
"1322"	0.0565567	1.259956	1.026003	-0.6692505	-0.1297073	0.8080044	0.7157917	0.5684662	0.7219963	-0.6388779	-0.6748257	-0.4422703	""	""	""	""	""	""	"0"	"2298000000"	"32"	"0.0513439150998871"	"-0.0723223686218262"	"0.570415362218699"	"0.676810741424561"	"0.43507651622635"	"M0R7E6"	"M0R7E6"	""	"Srrt"	"Srrt"	"M0R7E6"	0.4183163	0.49063875	0.890319199751521	-0.2584944	0.272567174659537	0.975131205304059	0.928915664588756
"1323"	0.8597183	0.4851246	0.3807354	-0.03734589	0.6611309	0.64785	0.5919018	0.0932045	1.156237	0.9976673	0.238121	0.3797894	""	""	""	""	""	""	"0"	"2611600000"	"34"	"0.124965427503281"	"-0.0764636993408203"	"0.410260792142116"	"-0.270895481109619"	"-0.209728404384811"	"M0R7Q5;P62243;B2RYR8;D3ZIE1;Q6TXJ0"	"M0R7Q5;P62243;B2RYR8;D3ZIE1;Q6TXJ0"	"40S ribosomal protein S8"	"LOC100363452;Rps8;RGD1566369;LOC297756"	"LOC100363452"	"M0R7Q5"	0.4220581025	0.4985218	0.750916042526877	0.692953675	0.390179891285809	0.919657446724006	0.941075218370869
"1324"	-2.368513	-4.519808	-4.696963	-2.640453	-3.996511	-2.694212	-3.403433	-3.324825	-5.598634	-4.957258	-3.721237	-4.230882	""	""	""	""	""	""	"0"	"185000000"	"9"	"0.112157195321492"	"-0.201689004898071"	"0.707091552442941"	"1.07056844234467"	"0.616502386797443"	"M0R7T1;F1LNB2;P62024"	"M0R7T1"	""	"Phactr4"	"Phactr4"	"M0R7T1"	-3.55643425	-3.35474525	0.776915384913897	-4.62700275	0.203045265246535	0.927728067308972	0.873316952894311
"1325"	-2.176218	-2.455976	-4.554114	-1.78891	-1.255957	-1.850443	-3.933213	-1.738079	-2.662701	-3.986247	-2.926048	-3.545092	""	""	""	""	""	""	"0"	"310130000"	"6"	"0.263260393344844"	"-0.549381792545319"	"0.332572704554921"	"0.536217570304871"	"0.317786339748617"	"M0R7U2"	"M0R7U2"	""	"Tstd1"	"Tstd1"	"M0R7U2"	-2.7438045	-2.194423	0.545469673331823	-3.280022	0.475759160961016	0.817502041262173	0.941075218370869
"1326"	-0.7915993	-5.266449	-4.601861	1.556583	-3.74085	-2.565638	-2.437517	-1.533283	-4.680609	-4.054579	-3.100842	-3.045868	""	""	""	""	""	""	"0"	"964460000"	"7"	"0.0621059109801702"	"0.293490469455719"	"0.37888750967482"	"1.44464260339737"	"0.542843311627628"	"M0R907"	"M0R907"	""	"LOC687711"	"LOC687711"	"M0R907"	-2.275831575	-2.569322	0.870722002913596	-3.7204745	0.442223453825815	0.971165862002925	0.941075218370869
"1327"	-1.94215	-4.955822	-4.026851	-1.096193	-4.025015	-4.392694	-3.920031	-2.448196	-4.536137	-4.645616	-2.262035	-1.373402	""	""	""	""	""	""	"0.0011858"	"276820000"	"4"	"0.290505888704353"	"0.691230058670044"	"0.0578683035411547"	"0.19904351234436"	"0.0898621715805465"	"M0R919"	"M0R919"	""	"LOC681825"	"LOC681825"	"M0R919"	-3.005254	-3.696484	0.521989587484193	-3.2042975	0.875288191411969	0.813197733942944	0.977287668004742
"1328"	-2.10008	-2.102118	-4.419713	-2.453796	-4.524943	-2.922842	-1.571402	-1.079945	-1.913557	-1.669493	-1.027348	-3.493186	""	""	""	""	""	"+"	"0"	"415570000"	"4"	"0.0935920377033648"	"-0.244144022464752"	"0.433692201346769"	"-0.743030846118927"	"-0.42119688203339"	"M0R965;Q3B8Q1"	"M0R965;Q3B8Q1"	"Nucleolar RNA helicase 2"	"Ddx21"	"Ddx21"	"M0R965"	-2.76892675	-2.524783	0.806964560827035	-2.025896	0.368523079373072	0.943255532817092	0.941075218370869
"1329"	-1.369154	-2.650463	-4.832844	-1.36027	-3.810176	-1.653551	-3.843773	-0.5818176	-4.584427	-5.009871	-1.19475	-3.486837	""	""	""	""	""	""	"0"	"477550000"	"6"	"0.0239424636341206"	"-0.0808534622192383"	"0.373299975714526"	"1.01578861474991"	"0.465404590421646"	"M0R979;A0A0G2JV24"	"M0R979;A0A0G2JV24"	""	"Thbs1"	"Thbs1"	"M0R979"	-2.55318275	-2.4723294	0.946362720823174	-3.56897125	0.423408561494555	0.984365107191485	0.941075218370869
"1330"	-2.319809	-1.928396	-4.911186	-3.794775	-2.523886	-2.580729	-2.383032	-4.309686	-3.637877	-1.962	-2.817753	-2.476723	""	""	""	""	""	""	"0"	"274460000"	"4"	"0.132107327666929"	"-0.289208650588989"	"0.276055944358361"	"-0.51495361328125"	"-0.290591471544278"	"M0R9B9;D3ZCR9;A0A0G2K3V1"	"M0R9B9"	""	"Ubxn7"	"Ubxn7"	"M0R9B9"	-3.2385415	-2.94933325	0.739479179117132	-2.72358825	0.537648411442075	0.915006687640105	0.942414385676083
"1331"	2.005856	2.958443	3.209963	2.950388	3.375071	2.718281	3.503288	3.321705	2.473804	2.625181	0.9697495	3.315773	""	""	""	""	""	""	"0"	"13657000000"	"48"	"0.682411169691053"	"-0.448423862457275"	"0.330347819196342"	"0.435035228729248"	"0.278727422081041"	"M0R9I6"	"M0R9I6"	"Aminomethyltransferase"	"Amt"	"Amt"	"M0R9I6"	2.7811625	3.22958625	0.215141092231253	2.346126875	0.475875719148157	0.677924537953294	0.941075218370869
"1332"	-0.8813839	0.01240921	0.676569	-0.125	-0.8288574	0.6968861	0.3435688	0.3519382	-1.146055	0.5175571	-0.4249401	-1.351587	""	""	""	""	""	""	"0"	"1833700000"	"26"	"0.18683368529834"	"-0.220235347747803"	"0.440586366858938"	"0.521904945373535"	"0.34116678893862"	"M0R9L3"	"M0R9L3"	""	"Snx9"	"Snx9"	"M0R9L3"	-0.0793514225	0.140883925	0.650408827349041	-0.60125625	0.365274732376328	0.869548273432609	0.941075218370869
"1333"	-0.1726265	-1.97839	-1.576706	0.7295742	-3.163465	-1.499512	-4.638118	-0.7869205	-1.801523	-2.186071	-1.498148	-1.767559	""	""	""	""	""	""	"0"	"1052900000"	"14"	"0.830544582947386"	"1.77246701717377"	"0.82704437477884"	"1.06378841400146"	"0.647620242660064"	"M0R9Q1;M0R3R6"	"M0R9Q1;M0R3R6"	""	"LOC100911677"	"LOC100911677"	"M0R9Q1"	-0.749537075	-2.522003875	0.152456493825325	-1.81332525	0.18795615358761	0.630205256392547	0.857385993988429
"1334"	3.73131	3.886963	3.470856	3.885983	4.05961	3.991013	4.08497	4.210545	3.810001	3.820787	4.103529	3.418941	""	""	""	""	""	""	"0"	"27568000000"	"249"	"1.71213657839281"	"-0.342756748199463"	"0.0948992077736159"	"-0.0445370674133301"	"-0.0380191764635629"	"M0R9X8;F1LRT9;P38650"	"M0R9X8;F1LRT9;P38650"	"Cytoplasmic dynein 1 heavy chain 1"	"Dync1h1"	"Dync1h1"	"M0R9X8"	3.743778	4.0865345	0.0311944434484164	3.7883145	0.804718437721921	0.437650614332842	0.97467001701752
"1335"	0.425827	-0.3239498	-1.776037	-0.3899193	-0.1116028	0.08429337	0.3686981	-0.09807777	-1.097315	-2.692312	-1.061089	-1.589085	""	""	""	""	""	""	"0"	"1442300000"	"15"	"0.572122675561046"	"-0.576847553253174"	"0.935022629110458"	"1.0939302444458"	"0.68539273471003"	"M0RA08"	"M0RA08"	""	"Plin3"	"Plin3"	"M0RA08"	-0.516019775	0.060827725	0.300838155333131	-1.60995025	0.117830073532894	0.728861793421684	0.829944387677738
"1336"	-2.339607	-4.451401	-2.190586	-4.324899	-1.528088	-2.15353	-3.914005	-3.372497	-0.1200294	-2.234861	-3.059607	-3.914911	""	""	""	""	""	""	"0"	"322250000"	"2"	"0.297655284766088"	"-0.58459335565567"	"0.435404349425707"	"-0.994271099567413"	"-0.492423349486187"	"M0RA19;M0RBA8"	"M0RA19;M0RBA8"	""	"Eng"	"Eng"	"M0RA19"	-3.32662325	-2.74203	0.50424129091973	-2.3323521	0.369625948348564	0.810418757355289	0.941075218370869
"1337"	-3.180452	-2.273531	-2.867689	-3.771152	-3.691861	-2.71294	-3.042328	-2.661764	-4.002887	-4.695122	-4.339036	-4.646314	""	""	""	""	""	""	"0.00080906"	"165500000"	"2"	"0.00341945616710075"	"0.00401711463928223"	"2.13901073409148"	"1.39763331413269"	"1.03457376783946"	"M0RA54"	"M0RA54"	""	"LOC100366121"	"LOC100366121"	"M0RA54"	-3.023206	-3.02722325	0.992180324691117	-4.42083975	0.0131161601426793	0.996134251380135	0.656163649561867
"1338"	-1.199911	-0.5114613	0.5071869	0.135334	-0.217041	0.2484207	0.1763248	0.7061214	-0.2770271	1.083284	0.1554356	-0.5545788	""	""	""	""	""	""	"0"	"2631400000"	"39"	"0.548156415036659"	"-0.495669364929199"	"0.297774580891632"	"-0.368991374969482"	"-0.242923438265443"	"M0RAD5"	"M0RAD5"	"ATP-dependent Clp protease proteolytic subunit"	"Clpp"	"Clpp"	"M0RAD5"	-0.26721285	0.228456475	0.297800182527683	0.101778425	0.503817973208681	0.72877509625975	0.941075218370869
"1339"	0.3132	0.05706024	-0.7311878	1.69018	0.5968819	0.4906921	0.6188984	1.596588	-1.263382	0.6013393	-0.1076775	-4.756125	""	""	""	""	""	""	"0"	"3032900000"	"26"	"0.379554862209371"	"-0.493452072143555"	"0.633210482708988"	"1.71377432346344"	"0.747971444306162"	"M0RAK2;Q5U3Z3"	"M0RAK2"	""	"Isoc2a"	"Isoc2a"	"M0RAK2"	0.33231311	0.8257651	0.428058766305272	-1.3814613	0.254374978469492	0.783008235388954	0.915792511944975
"1340"	3.097891	3.960445	3.44264	4.279203	3.979763	3.700361	3.982798	4.282755	2.850901	3.608915	3.926439	3.091854	""	""	""	""	""	""	"0"	"26974000000"	"116"	"0.453285567924195"	"-0.291374206542969"	"0.398652196793176"	"0.325517654418945"	"0.23954900383367"	"M0RAM5;P04041"	"M0RAM5;P04041"	"Glutathione peroxidase 1"	"Gpx1"	"Gpx1"	"M0RAM5"	3.69504475	3.98641925	0.368035941880258	3.36952725	0.399541013851614	0.759913506050127	0.941075218370869
